1	12193	14.85	22.96	44.7	42.75	46.32	6.558	89.73	5.8368
2	12353	14.87	23.04	44.76	43.17	46.99	6.558	68.688	-15.205
3	12514	14.87	23.07	44.05	42.87	46.33	6.558	82.685	-1.2076
4	12675	14.86	23.07	45.07	43.18	46.93	6.558	84.032	0.13935
5	12835	14.87	23.05	44.3	43.02	46.51	6.558	89.337	5.4435
6	12996	14.87	23.03	45.38	43.14	46.78	6.558	82.589	-1.3043
7	13157	14.86	22.99	44.53	43.14	46.68	6.558	71.291	-12.602
8	13318	14.86	22.95	45.14	42.92	46.32	6.558	79.57	-4.3228
9	13479	14.87	22.9	44.74	43.24	46.83	6.558	69.385	-14.508
10	13639	14.85	22.84	44.18	42.89	46.15	6.558	80.119	-3.7742
11	13800	14.87	22.78	44.94	43.3	46.92	6.558	79.324	-4.5689
12	13961	14.86	22.71	44.18	43		46.3	6.558	79.644	-4.2486
13	14121	14.88	22.64	45.15	43.3	46.93	6.558	94.45	10.557
14	14282	14.85	22.58	44.35	43.08	46.47	6.558	78.638	-5.2553
15	14443	14.85	22.51	45.39	43.21	46.8	6.558	93.469	9.5757
16	14603	14.85	22.45	44.51	43.15	46.61	6.558	83.547	-0.34597
17	14764	14.83	22.38	45.51	43.24	46.84	6.558	93.152	9.2587
18	14925	14.84	22.3	44.62	43.21	46.73	6.558	90.044	6.1509
19	15085	14.83	22.22	45.13	42.95	46.32	6.558	91.828	7.9345
20	15247	14.86	22.14	44.75	43.24	46.81	6.558	77.367	-6.526
21	15407	14.81	22.06	44.99	42.95	46.33	6.558	77.183	-6.7102
22	15568	14.84	21.99	44.8	43.29	46.91	6.558	90.745	6.8515
23	15874	14.8	21.83	45.07	43.29	46.96	6.558	82.101	-1.7918
24	22572	14.65	19.33	44.64	42.55	46.33	6.558	88.638	4.7446
25	22733	14.67	19.28	44.58	42.86	46.89	6.558	85.447	1.5542
26	22894	14.65	19.23	45.05	42.61	46.48	6.558	96.943	13.05
27	23054	14.67	19.19	44.79	43		47.14	6.558	82.013	-1.8799
28	23215	14.65	19.16	44.08	42.59	46.35	6.558	87.047	3.1543
