1	17465 4.859   17.154  44.725  43.253  47.003  0.181   70.931  57.887  55.814  60.111
2	17629 4.872   17.121  44.806  42.875  46.361  -0.088  64.623  90.572  37.636  64.623
3	17794 4.875   17.088  44.914  43.306  47.126  0.215   48.54   42.492  49.173  48.54
4	17958 4.859   17.058  44.109  42.875  46.324  -0.048  59.759  63.371  57.123  59.759
5	18123 4.853   17.04   45.094  43.322  47.201  0.181   54.129  45.564  58.182  54.129
6	18287 4.862   17.023  44.225  42.953  46.479  -0.005  66.604  120.04  41.226  66.604
7	18452 4.862   17.01   45.144  43.383  47.299  0.184   57.068  25.677  69.746  57.068
8	18616 4.841   17.018  44.167  43      46.55   -0.02   77.666  88.005  60.695  77.666
9	18780 4.834   17.047  45.305  43.329  47.248  0.029   49.65   72.143  44.612  49.65
10	18939 4.844   17.086  44.314  43.064  46.699  0.026   68.367  76.846  58.232  68.367
11	19103 4.822   17.116  45.58   43.181  47.022  -0.091  47.011  46.357  33.111  47.011
12	19263 4.834   17.126  44.513  43.142  46.874  0.079   53.04   55.258  58.344  53.04
13	19427 4.813   17.13   45.704  43.231  47.105  -0.064  40.568  30.175  34.727  40.568
14	19592 4.838   17.133  44.599  43.221  46.985  0.107   48.998  16.314  36.714  48.998
15	19756 4.788   17.13   45.366  42.997  46.667  -0.185  67.578  117.27  28.196  67.578
16	19920 4.81    17.121  44.739  43.255  47.085  0.116   36.355  68.864  15.503  36.355
17	20085 4.788   17.11   45.451  43.06   46.774  -0.138  46.194  43.963  36.083  46.194
18	20249 4.813   17.11   44.806  43.316  47.169  0.138   36.263  35.205  29.777  36.263
19	20408 4.788   17.093  45.375  43.077  46.776  -0.132  50.505  75.263  30.269  50.505
20	20572 4.788   17.068  44.859  43.358  47.232  0.144   38.594  33.369  47.818  38.594
21	20737 4.794   17.04   44.537  42.893  46.414  -0.144  50.749  46.122  55.276  50.749
22	20901 4.788   17.016  44.983  43.339  47.25   0.129   33.556  -4.1    38.468  33.556
23	21066 4.772   16.993  44.605  42.927  46.504  -0.119  68.037  93.211  55.118  68.037
24	21230 4.772   16.976  45.028  43.368  47.306  0.144   30.469  42.38   48.142  30.469
25	21395 4.763   16.954  44.607  42.957  46.547  -0.107  52.528  61.555  41.044  52.528
26	21559 4.772   16.924  45.052  43.392  47.344  0.138   50.172  44.636  66.473  50.172
