1	17557	3.18	16.94	44.58	43.03	46.86	7.352	3.3463	2.0019
2	17718	3.18	16.98	45.38	42.97	46.79	7.212	8.5829	7.2385
3	17879	3.21	17.03	44.32	42.95	46.69	7.382	1.7375	0.39304
4	18039	3.19	17.09	45.12	43.01	46.83	7.212	5.9309	4.5865
5	18200	3.2		17.12	44.1	42.82	46.46	7.222	7.0392	5.6948
6	18361	3.19	17.14	44.81	43.08	46.96	7.352	-6.2463	-7.5908
7	18521	3.19	17.15	43.95	42.7	46.23	7.172	-3.5129	-4.8573
8	18682	3.19	17.16	44.62	43		46.76	7.322	1.1704	-0.17403
9	18843	3.19	17.16	45.27	42.83	46.54	7.172	-12.396	-13.74
10	19004	3.2		17.16	44.36	42.96	46.7	7.302	4.0015	2.6571
11	19164	3.19	17.14	45.23	42.92	46.7	7.152	-11.443	-12.788
12	19325	3.21	17.11	44.17	42.85	46.52	7.242	0.80017	-0.54425
13	19486	3.19	17.08	44.93	43.09	46.98	7.322	-8.5625	-9.9069
14	19647	3.2		17.04	43.95	42.75	46.32	7.172	17.144	15.8
15	19807	3.18	17		44.71	43.02	46.88	7.312	3.9479	2.6034
16	19968	3.19	16.96	44.93	42.76	46.41	7.172	-1.1526	-2.497
17	20129	3.21	16.92	44.46	42.99	46.78	7.332	8.9958	7.6513
18	20289	3.19	16.89	45.25	43.1	46.99	7.242	13.584	12.239
19	20450	3.22	16.84	44.21	42.97	46.6	7.252	20.542	19.198
20	20611	3.18	16.83	45.01	43.07	46.95	7.262	8.3871	7.0427
21	20772	3.19	16.79	44.13	42.78	46.41	7.272	3.5132	2.1688
22	20932	3.19	16.76	44.73	43.09	47		7.452	1.953	0.6086
23	21094	3.19	16.73	44.5	42.7	46.28	7.142	6.3606	5.0162
24	21254	3.19	16.69	44.51	42.99	46.8	7.312	10.018	8.6736
25	21415	3.19	16.65	44.95	42.7	46.34	7.102	4.9868	3.6424
26	21576	3.19	16.61	44.33	42.87	46.61	7.252	1.7348	0.39038
