1	12832	3.18	16.51	44.87	42.6	46.52	7.257	-0.7421		-2.0865
2	12993	3.19	16.6	44.32	42.82	46.84	7.257	3.7209		2.3765
3	13154	3.18	16.69	45.12	42.97	47.07	7.257	19.488		18.144
4	13314	3.2		16.8	44.11	42.78	46.64	7.257	3.4421		2.0976
5	13475	3.19	16.9	44.91	42.98	47.01	7.257	-4.6242		-5.9686
6	13636	3.21	16.98	44.13	42.69	46.42	7.257	21.12		19.775
7	13796	3.2		17.05	44.66	43.03	47		7.257	-0.01354	-1.358
8	13957	3.19	17.09	44.57	42.67	46.34	7.257	-3.3224		-4.6669
9	14118	3.23	17.12	44.47	42.99	46.83	7.257	4.7614		3.417
10	14279	3.21	17.14	45.05	42.72	46.42	7.257	-0.48184	-1.8263
11	14440	3.21	17.15	44.31	42.88	46.67	7.257	-1.2613		-2.6057
12	14600	3.2		17.17	45.13	43.06	47		7.257	-7.3968 	-8.7412
13	14761	3.21	17.17	44.14	42.84	46.45	7.257	0.19953		-1.1449
14	14922	3.2		17.16	44.93	43.07	46.97	7.257	-0.08164	-1.4261
15	15082	3.21	17.15	44.35	42.76	46.38	7.257	0.19227		-1.1522
16	15243	3.21	17.14	44.69	43.1	46.98	7.257	-1.0705		-2.4149
17	15404	3.22	17.11	44.83	42.77	46.39	7.257	-6.8549 	-8.1993
18	15565	3.18	17.09	44.51	43.04	46.83	7.257	-15.02		-16.364
19	15726	3.2		17.06	45.24	42.84	46.54	7.257	1.0685		-0.27592
20	15886	3.2		17.01	44.35	42.95	46.69	7.257	1.668		0.32361
21	16047	3.19	17	45.14		43.14	47.06	7.257	-1.0583		-2.4028
22	17557	3.18	16.94	44.58	43.03	46.86	7.257	4.5501		3.2057
23	22469	3.2		16.5	44.03	42.76	46.43	7.257	6.1469		4.8025
24	22630	3.19	16.45	44.82	42.95	46.85	7.257	1.8168		0.4724
25	22791	3.19	16.41	44.17	42.62	46.25	7.257	5.7113		4.3669
26	22952	3.19	16.37	44.55	42.94	46.84	7.257	1.1341		-0.21028
27	23112	3.17	16.34	45.35	42.84	46.7	7.257	5.2589		3.9145
28	23273	3.19	16.31	44.31	42.87	46.62	7.257	-0.70735	-2.0518
