1	17416	12.46	17.15	44.83	42.67	47.11	7.292	96.768	-13.165
2	17577	12.44	17.15	44.18	42.35	46.48	7.122	101.8	-8.1336
3	17738	12.44	17.19	44.53	42.63	47.05	7.342	88.469	-21.464
4	17898	12.46	17.18	44.58	42.29	46.42	7.112	111.42	1.4884
5	18059	12.45	17.17	44.3	42.53	46.84	7.292	107.89	-2.0465
6	18220	12.44	17.14	45.11	42.59	46.99	7.182	107.39	-2.5402
7	18380	12.45	17.1	44.04	42.44	46.65	7.212	99.998	-9.9356
8	18541	12.5	17.04	44.84	42.59	46.96	7.202	119.32	9.3878
9	18702	12.43	16.98	43.83	42.29	46.42	7.152	111.28	1.342
10	18862	12.44	16.92	44.53	42.58	46.97	7.312	117.58	7.6435
11	19023	12.44	16.85	45		42.36	46.6	7.142	103.61	-6.3186
12	19184	12.43	16.8	44.23	42.5	46.81	7.262	118.97	9.0397
13	19344	12.43	16.76	45		42.63	47.08	7.222	113.71	3.7798
14	19505	12.41	16.72	43.95	42.37	46.58	7.182	117.58	7.6479
15	19666	12.43	16.7	45.11	42.68	47.2	7.272	112.83	2.9005
16	19826	12.44	16.68	43.98	42.44	46.7	7.232	118.19	8.2532
17	19987	12.42	16.66	44.82	42.59	47.03	7.222	104.38	-5.551
18	20148	12.41	16.64	43.89	42.27	46.53	7.152	112.09	2.1529
19	20308	12.45	16.63	44.85	42.72	47.29	7.392	120.27	10.337
20	20469	12.43	16.62	43.85	42.34	46.52	7.152	131.51	21.575
21	20630	12.43	16.6	44.51	42.59	47.03	7.302	112.05	2.1147
22	20790	12.43	16.59	44.03	42.17	46.27	7.092	105.93	-4.005
23	20951	12.43	16.59	44.71	42.65	47.19	7.362	105.27	-4.6598
24	21111	12.43	16.59	43.92	42.25	46.4	7.152	115.78	5.844
25	21272	12.43	16.58	44.79	42.7	47.26	7.372	108.36	-1.5749
