1	12287 4.038   16.5    44.513  42.955  47.162  5.423   581.2   537.89  560.02  559.78
2	12447 4.028   16.351  44.887  42.642  46.648  5.194   579.66  516.43  552.75  550.4
3	12611 4.035   16.252  44.585  42.978  47.246  5.442   624.9   570.05  591.13  594.3
4	12775 4.05    16.185  44.033  42.48   46.361  5.203   561.09  595.58  530.56  554.45
5	12940 4.066   16.14   44.756  42.96   47.3    5.445   510.37  587.25  547.34  548.07
6	13104 4.047   16.117  43.718  42.524  46.469  5.21    583.76  564.15  549.8   561.88
7	13268 4.078   16.094  44.954  42.937  47.336  5.371   561.81  584.36  541.31  557.2
8	13433 4.112   16.086  43.892  42.605  46.653  5.278   578.88  566.8   571.78  572.31
9	13597 4.09    16.08   45.006  42.998  47.428  5.439   545.14  559.52  589.88  571.11
10	13762 4.115   16.076  43.941  42.656  46.728  5.293   592.39  566.18  555.18  567.23
11	13926 4.078   16.08   45.203  42.902  47.282  5.318   565.39  567.04  531.1   548.66
12	14090 4.118   16.081  44.092  42.711  46.863  5.346   603.03  547.43  595.28  585.26
13	14249 4.094   16.093  45.329  42.653  46.874  5.2	  624.24  578.23  562.93  582.09
14	14414 4.143   16.11   44.291  42.781  47.022  5.405   586.89  594.1   584.32  587.41
15	14578 4.143   16.124  45.415  42.742  47.019  5.256   615.48  593.68  588.48  596.53
16	14742 4.131   16.145  44.356  42.847  47.114  5.414   576.54  542.66  550.26  554.93
17	14907 4.137   16.16   44.729  42.498  46.543  5.175   599.09  563.22  536.28  558.72
18	15071 4.162   16.198  44.522  42.867  47.203  5.448   612.26  559.3   576.84  581.31
19	15236 4.14    16.182  43.999  42.409  46.347  5.203   578.16  569.71  565.66  569.8
20	15400 4.165   16.188  44.717  42.905  47.288  5.461   534.85  545.01  574.09  557.01
21	15564 4.131   16.196  43.708  42.495  46.476  5.222   544.44  580.15  570.12  566.21
22	15729 4.177   16.198  44.935  42.913  47.326  5.42    492.98  587.61  551.3   545.8
23	15893 4.162   16.199  43.892  42.599  46.659  5.287   501.89  535.95  555.48  537.2
24	16057 4.128   16.198  45.165  42.87   47.25   5.318   494.32  538.44  562.93  539.65
25	16222 4.156   16.198  44.067  42.685  46.826  5.352   561.68  569.7   554.45  560.07
26	16386 4.156   16.196  45.272  42.963  47.383  5.361   468.36  513.47  567.75  529.33
