1	12136	5.6923	15.877	44.414	42.807	47.08	4.1805	93.179	25.169
2	12301	5.6861	16.001	45.469	42.744	46.924	3.9914	79.128	11.118
3	12460	5.7264	16.096	44.564	42.97	47.173	4.2208	110.92	42.914
4	12770	5.7109	16.245	45.064	43.029	47.252	4.1681	56.792	-11.218
5	12935	5.7295	16.274	44.069	42.752	46.619	4.0782	79.302	11.292
6	13099	5.7295	16.295	45.342	43.064	47.221	4.0999	82.769	14.759
7	13263	5.7698	16.31	44.373	42.905	46.799	4.1619	110.95	42.937
8	13427	5.7233	16.343	45.619	42.902	46.979	3.9976	76.787	8.7768
9	13592	5.7481	16.337	44.535	43.04	46.99	4.1991	113.11	45.102
10	13751	5.7357	16.354	45.106	42.766	46.531	3.9635	102.4	34.391
11	13915	5.7481	16.373	44.763	43.144	47.123	4.165	74.959	6.9491
12	14080	5.7481	16.391	44.341	42.711	46.334	4.0069	72.154	4.144
13	14244	5.7636	16.402	44.964	43.205	47.236	4.2611	77.657	9.6471
14	14409	5.7636	16.422	44.017	42.832	46.449	4.0348	108.41	40.4
15	14573	5.7543	16.424	45.187	43.238	47.293	4.2239	108.74	40.734
16	14737	5.7698	16.432	44.206	42.923	46.632	4.0937	77.658	9.6481
17	14901	5.7729	16.44	45.442	43.231	47.263	4.1495	77.976	9.9663
18	15066	5.7791	16.439	44.416	43.045	46.829	4.1681	72.454	4.4443
19	15230	5.7636	16.439	45.659	43.119	47.051	4.0348	80.607	12.597
20	15395	5.7729	16.44	44.583	43.127	46.97	4.1991	91.585	23.575
21	15559	5.7791	16.437	44.474	42.67	46.2	3.9139	102.8	34.79
22	15723	5.7915	16.427	44.882	43.161	47.112	4.2456	87.848	19.838
23	15883	5.7729	16.419	43.98	42.771	46.359	4.0162	84.133	16.123
24	16047	5.776	16.412	45.137	43.221	47.23	4.2239	112.29	44.279
25	16207	5.7853	16.403	44.198	42.913	46.586	4.0968	73.19	5.1799
26	16371	5.7729	16.396	45.584	42.97	46.828	3.9821	99.572	31.562
