1	12372	12.41	17.13	44.57	42.49	47.25	7.229	110.29	0.35765
2	12533	12.41	17.2	43.86	42.13	46.47	7.229	107.79	-2.1457
3	12693	12.45	17.25	44.4	42.47	47.05	7.229	97.624	-12.31
4	12854	12.44	17.28	44.36	42.13	46.39	7.229	110.2	0.26841
5	13014	12.42	17.3	44.57	42.61	47.19	7.229	100.86	-9.076
6	13176	12.44	17.32	44.25	42.23	46.44	7.229	113.29	3.3603
7	13336	12.46	17.34	44.38	42.54	46.98	7.229	97.565	-12.368
8	13497	12.47	17.3	44.73	42.25	46.47	7.229	114.75	4.813
9	13658	12.46	17.36	44.21	42.46	46.8	7.229	104.64	-5.2909
10	13818	12.46	17.42	45.04	42.6	47.06	7.229	105.34	-4.5893
11	13979	12.47	17.35	44		42.42	46.64	7.229	114.58	4.6441
12	14140	12.47	17.32	45.17	42.7	47.21	7.229	109.99	0.056694
13	14300	12.47	17.29	44.13	42.52	46.77	7.229	116.1	6.1712
14	14461	12.45	17.25	44.94	42.66	47.09	7.229	105.53	-4.4001
15	14622	12.5	17.2	43.93	42.39	46.55	7.229	118.47	8.5318
16	14782	12.46	17.14	45.08	42.73	47.24	7.229	110.28	0.35005
17	14943	12.47	17.09	44.05	42.48	46.69	7.229	111.94	2.002
18	15103	12.46	17.04	44.83	42.66	47.07	7.229	112.24	2.3086
19	15264	12.46	17		44.11	42.34	46.46	7.229	100.36	-9.5725
20	15425	12.47	16.97	44.55	42.64	47.04	7.229	110.6	0.67083
21	15586	12.46	16.96	44.52	42.28	46.4	7.229	123.39	13.456
22	15746	12.48	16.94	44.32	42.53	46.86	7.229	107.5	-2.4324
23	22175	12.45	16.64	45.01	42.73	47.33	7.229	108.06	-1.8747
24	22335	12.45	16.63	43.97	42.42	46.67	7.229	114.27	4.3379
25	22496	12.44	16.64	44.7	42.61	47.08	7.229	111.07	1.135
26	22657	12.43	16.66	44.35	42.26	46.46	7.229	112.19	2.2574
27	22817	12.44	16.68	44.39	42.54	46.94	7.229	119.98	10.052
28	22978	12.44	16.7	45.18	42.51	46.95	7.229	109.22	-0.7137
